ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,43,management,married,tertiary,no,291,yes,no,unknown,9,may,150,2,-1,0,unknown,0
2,42,technician,divorced,primary,no,5076,yes,no,cellular,7,apr,99,1,251,2,other,0
3,47,admin.,married,secondary,no,104,yes,yes,cellular,14,jul,77,2,-1,0,unknown,0
4,28,management,single,secondary,no,-994,yes,yes,cellular,18,jul,174,2,-1,0,unknown,0
5,42,technician,divorced,secondary,no,2974,yes,no,unknown,21,may,187,5,-1,0,unknown,0
6,56,services,divorced,secondary,no,450,no,no,unknown,9,jun,47,1,-1,0,unknown,0
7,32,management,single,tertiary,no,1716,no,no,cellular,21,nov,157,4,-1,0,unknown,0
8,33,management,single,tertiary,no,-359,no,no,telephone,29,aug,59,2,-1,0,unknown,0
9,32,technician,single,secondary,no,309,yes,yes,cellular,25,aug,99,3,-1,0,unknown,0
10,55,management,married,tertiary,no,4777,no,yes,unknown,20,jun,12,3,-1,0,unknown,0
11,54,technician,married,secondary,no,1076,no,no,cellular,28,jan,338,1,-1,0,unknown,0
12,59,retired,married,secondary,no,1035,yes,yes,cellular,1,apr,126,2,239,1,failure,0
13,48,services,married,secondary,no,473,no,yes,cellular,6,aug,198,2,-1,0,unknown,0
14,54,retired,married,primary,no,0,yes,no,cellular,11,jul,159,2,-1,0,unknown,0
15,53,management,married,tertiary,no,8627,no,no,cellular,10,feb,66,1,-1,0,unknown,0
16,30,services,single,tertiary,no,3516,yes,no,unknown,29,may,447,4,-1,0,unknown,0
17,39,technician,divorced,tertiary,no,665,yes,no,cellular,8,may,133,8,-1,0,unknown,0
18,39,technician,married,secondary,no,564,no,no,cellular,21,aug,86,4,-1,0,unknown,0
19,59,retired,married,secondary,no,1449,yes,yes,cellular,23,jul,437,2,-1,0,unknown,0
20,28,student,single,secondary,no,305,no,no,cellular,7,jul,625,1,-1,0,unknown,0
21,31,management,single,tertiary,no,3967,yes,no,cellular,21,nov,859,1,182,1,failure,0
22,28,management,married,tertiary,no,3,yes,no,unknown,7,may,122,5,-1,0,unknown,0
23,49,management,divorced,tertiary,no,169,yes,no,unknown,28,may,174,1,-1,0,unknown,0
24,25,blue-collar,married,secondary,no,-507,yes,yes,unknown,4,jun,404,2,-1,0,unknown,0
25,44,technician,divorced,secondary,no,399,yes,no,unknown,16,may,148,9,-1,0,unknown,0
26,43,blue-collar,married,secondary,no,664,yes,no,unknown,12,jun,354,1,-1,0,unknown,0
27,38,blue-collar,married,secondary,no,748,yes,no,cellular,31,aug,98,3,-1,0,unknown,0
28,35,management,married,tertiary,no,787,no,no,cellular,20,nov,49,1,-1,0,unknown,0
29,31,admin.,married,tertiary,no,1144,yes,yes,cellular,17,nov,89,1,-1,0,unknown,0
30,40,management,single,primary,no,858,yes,no,unknown,21,may,173,1,-1,0,unknown,0
31,29,admin.,single,secondary,no,171,yes,no,unknown,11,jun,83,10,-1,0,unknown,0
32,41,management,married,tertiary,no,1143,yes,no,cellular,5,feb,134,1,8,2,other,0
33,31,admin.,married,secondary,no,-106,yes,no,cellular,3,feb,258,4,-1,0,unknown,0
34,28,blue-collar,single,secondary,no,6307,yes,no,unknown,28,may,615,1,-1,0,unknown,0
35,43,management,married,tertiary,no,430,no,no,cellular,17,nov,44,2,-1,0,unknown,0
36,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,0
37,59,management,married,secondary,no,544,no,no,unknown,20,jun,67,2,-1,0,unknown,0
38,43,services,married,secondary,no,1450,yes,no,unknown,4,jun,227,2,-1,0,unknown,0
39,25,management,single,tertiary,no,1129,no,no,cellular,8,jul,452,2,-1,0,unknown,0
40,55,blue-collar,married,secondary,no,-157,no,no,cellular,6,feb,354,5,-1,0,unknown,0
41,56,unknown,married,unknown,no,778,no,no,unknown,20,jun,32,4,-1,0,unknown,0
42,57,retired,married,secondary,no,0,yes,no,cellular,5,may,127,1,363,4,failure,0
43,48,blue-collar,married,primary,no,8,no,no,cellular,20,aug,43,2,-1,0,unknown,0
44,48,blue-collar,married,secondary,no,794,no,no,cellular,11,aug,135,6,-1,0,unknown,0
45,27,blue-collar,single,tertiary,no,1372,no,no,cellular,21,jul,230,1,-1,0,unknown,0
46,46,services,divorced,secondary,no,778,yes,no,unknown,19,may,579,1,-1,0,unknown,0
47,54,management,married,tertiary,no,154,no,no,unknown,9,may,155,3,-1,0,unknown,0
48,57,technician,married,secondary,no,0,no,no,unknown,13,may,44,1,-1,0,unknown,0
49,50,technician,married,secondary,no,4,no,no,cellular,10,jul,200,5,-1,0,unknown,0
50,30,blue-collar,married,secondary,no,717,yes,no,unknown,8,may,42,1,-1,0,unknown,0
51,33,management,single,tertiary,no,896,yes,no,cellular,19,nov,577,1,-1,0,unknown,0
52,53,entrepreneur,married,unknown,no,7,no,no,cellular,20,nov,68,1,-1,0,unknown,0
53,36,management,single,tertiary,no,86,no,no,cellular,25,aug,48,4,-1,0,unknown,0
54,25,technician,single,secondary,no,1135,yes,no,unknown,12,may,396,3,-1,0,unknown,0
55,31,blue-collar,married,secondary,no,1243,yes,no,unknown,21,may,32,1,-1,0,unknown,0
56,61,retired,married,primary,no,3738,no,no,telephone,6,feb,188,1,-1,0,unknown,0
57,61,management,single,tertiary,no,2,no,no,cellular,20,apr,122,3,-1,0,unknown,0
58,48,management,married,secondary,no,2204,yes,no,cellular,12,may,45,1,-1,0,unknown,0
59,54,technician,married,secondary,no,-939,yes,no,unknown,29,may,202,1,-1,0,unknown,0
60,35,technician,single,tertiary,no,1924,yes,no,cellular,20,apr,285,1,-1,0,unknown,0
61,21,blue-collar,married,primary,yes,-426,no,no,unknown,4,jun,139,2,-1,0,unknown,0
62,56,management,married,tertiary,no,382,no,no,unknown,27,jun,244,2,-1,0,unknown,0
63,53,management,divorced,secondary,no,112,no,yes,cellular,11,aug,246,3,-1,0,unknown,0
64,50,services,divorced,secondary,yes,-210,no,yes,cellular,21,aug,153,7,-1,0,unknown,0
65,24,blue-collar,single,unknown,no,76,yes,no,unknown,19,may,345,1,-1,0,unknown,0
66,43,blue-collar,married,primary,no,-67,yes,no,telephone,15,may,137,7,371,1,failure,0
67,33,services,single,secondary,no,239,yes,no,cellular,15,may,101,2,-1,0,unknown,0
68,26,technician,divorced,tertiary,no,278,yes,yes,cellular,7,jul,1467,1,-1,0,unknown,0
69,33,blue-collar,single,primary,no,777,no,no,cellular,7,jul,263,1,-1,0,unknown,0
70,55,management,divorced,tertiary,no,1633,no,no,telephone,2,jun,128,1,-1,0,unknown,0
71,29,housemaid,married,secondary,no,85,yes,no,cellular,14,jul,76,2,-1,0,unknown,0
72,30,management,married,tertiary,no,451,no,no,cellular,5,may,173,1,274,3,failure,0
73,50,management,married,tertiary,no,938,no,no,cellular,6,aug,148,2,98,1,success,0
74,31,management,married,tertiary,no,3739,no,no,cellular,11,aug,117,3,-1,0,unknown,0
75,37,admin.,married,secondary,no,0,no,no,cellular,29,jul,153,4,-1,0,unknown,0
76,42,technician,married,secondary,no,419,no,no,cellular,6,feb,198,2,-1,0,unknown,0
77,40,self-employed,married,secondary,no,311,yes,no,cellular,6,may,205,1,351,2,failure,0
78,42,services,married,secondary,no,737,yes,no,unknown,14,may,762,2,-1,0,unknown,0
79,32,blue-collar,single,primary,no,180,yes,no,cellular,13,may,804,1,-1,0,unknown,0
80,43,services,divorced,secondary,no,313,yes,no,cellular,8,may,155,2,-1,0,unknown,0
81,49,blue-collar,married,primary,no,4455,yes,no,cellular,20,nov,140,1,-1,0,unknown,0
82,47,blue-collar,married,primary,no,2466,yes,no,unknown,13,may,142,2,-1,0,unknown,0
83,36,management,married,tertiary,no,-825,no,no,unknown,27,may,95,1,-1,0,unknown,0
84,38,management,divorced,tertiary,no,-199,yes,no,cellular,18,may,15,3,-1,0,unknown,0
85,25,technician,single,secondary,no,0,yes,no,cellular,23,jul,487,5,-1,0,unknown,0
86,53,unemployed,married,secondary,yes,-233,yes,no,cellular,11,may,133,3,-1,0,unknown,0
87,44,management,single,secondary,no,-228,yes,yes,cellular,13,may,38,1,362,2,failure,0
88,31,blue-collar,married,primary,no,54,yes,no,cellular,18,may,239,6,-1,0,unknown,0
89,37,admin.,married,secondary,no,1283,yes,no,unknown,20,may,209,1,-1,0,unknown,0
90,36,admin.,single,tertiary,no,635,no,no,cellular,13,feb,56,1,-1,0,unknown,0
91,41,services,divorced,secondary,no,787,yes,no,cellular,8,may,297,2,-1,0,unknown,0
92,54,unknown,divorced,tertiary,no,2272,yes,no,telephone,19,nov,88,1,189,1,failure,0
93,40,admin.,single,secondary,no,576,yes,yes,cellular,20,apr,114,3,-1,0,unknown,0
94,36,admin.,married,secondary,no,0,yes,yes,cellular,11,may,94,1,-1,0,unknown,0
95,45,services,married,secondary,no,-158,yes,no,telephone,29,jul,340,1,-1,0,unknown,0
96,31,services,married,secondary,no,2050,yes,no,cellular,18,nov,271,5,-1,0,unknown,0
97,42,self-employed,married,tertiary,no,5,yes,no,unknown,13,may,853,1,-1,0,unknown,0
98,51,blue-collar,married,primary,no,5206,yes,no,cellular,20,nov,168,3,-1,0,unknown,0
99,39,technician,married,secondary,no,616,no,no,telephone,8,dec,170,1,-1,0,unknown,0
100,52,retired,married,secondary,no,411,yes,no,cellular,3,feb,180,3,200,10,other,0
101,32,technician,married,secondary,no,367,yes,no,cellular,11,may,214,2,276,3,failure,0
102,32,services,married,secondary,no,182,no,no,cellular,5,feb,277,1,169,2,failure,0
103,34,blue-collar,married,tertiary,no,748,yes,yes,cellular,6,may,161,1,-1,0,unknown,0
104,31,blue-collar,married,secondary,no,625,yes,no,cellular,14,may,137,3,-1,0,unknown,0
105,43,management,married,primary,no,73,no,no,cellular,2,feb,182,2,-1,0,unknown,0
106,33,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,809,3,181,1,other,0
107,26,blue-collar,married,primary,no,755,yes,no,unknown,28,may,61,1,-1,0,unknown,0
108,46,blue-collar,married,secondary,no,7,no,no,unknown,17,jun,110,2,-1,0,unknown,0
109,43,blue-collar,married,secondary,no,-63,yes,no,unknown,12,may,160,4,-1,0,unknown,0
110,35,unemployed,married,secondary,no,533,yes,no,unknown,6,may,802,1,-1,0,unknown,0
111,31,services,single,secondary,no,166,yes,no,cellular,11,may,227,1,-1,0,unknown,0
112,58,retired,divorced,secondary,no,63,no,no,cellular,18,nov,509,1,-1,0,unknown,0
113,53,management,divorced,tertiary,no,243,yes,no,cellular,7,jul,66,2,-1,0,unknown,0
114,31,admin.,single,tertiary,no,2004,no,no,cellular,19,nov,117,1,-1,0,unknown,0
115,74,retired,married,tertiary,no,4912,no,no,telephone,21,oct,129,3,-1,0,unknown,0
116,29,blue-collar,single,secondary,no,234,yes,no,cellular,8,may,139,1,345,1,other,0
117,34,blue-collar,single,primary,no,2146,yes,no,unknown,13,may,138,1,-1,0,unknown,0
118,38,blue-collar,single,secondary,no,1911,yes,no,cellular,31,jul,74,4,-1,0,unknown,0
119,60,retired,married,tertiary,no,614,no,no,cellular,29,aug,50,3,-1,0,unknown,0
120,52,entrepreneur,married,secondary,no,0,no,no,cellular,7,aug,82,2,-1,0,unknown,0
121,29,technician,single,unknown,no,1729,yes,no,cellular,6,apr,479,1,-1,0,unknown,0
122,39,blue-collar,married,primary,no,-432,yes,no,unknown,8,may,159,3,-1,0,unknown,0
123,41,services,divorced,primary,no,308,no,no,cellular,31,jul,73,1,-1,0,unknown,0
124,60,services,married,secondary,no,1446,no,no,cellular,21,aug,283,6,-1,0,unknown,0
125,60,blue-collar,married,tertiary,no,759,no,no,cellular,8,aug,255,2,-1,0,unknown,0
126,31,technician,single,tertiary,no,244,no,no,cellular,25,aug,170,4,-1,0,unknown,0
127,38,services,married,secondary,no,133,yes,no,unknown,27,may,267,1,-1,0,unknown,0
128,30,blue-collar,married,secondary,no,1196,no,no,unknown,27,may,147,1,-1,0,unknown,0
129,40,admin.,single,secondary,no,1670,yes,no,unknown,18,jun,161,2,-1,0,unknown,0
130,57,retired,single,primary,no,604,no,no,cellular,19,nov,187,1,-1,0,unknown,0
131,54,retired,divorced,tertiary,no,185,yes,no,telephone,13,may,413,6,-1,0,unknown,0
132,45,blue-collar,single,tertiary,no,-243,no,yes,cellular,8,jul,171,2,-1,0,unknown,0
133,41,technician,married,tertiary,no,-210,yes,yes,unknown,23,may,210,1,-1,0,unknown,0
134,36,services,married,secondary,no,211,yes,no,unknown,9,may,93,2,-1,0,unknown,0
135,48,services,married,secondary,no,74,no,no,cellular,2,feb,201,1,-1,0,unknown,0
136,24,technician,single,tertiary,no,10,yes,no,cellular,18,may,78,2,367,2,other,0
137,51,technician,married,secondary,no,563,yes,no,cellular,17,jul,117,3,-1,0,unknown,0
138,35,management,single,unknown,no,2361,no,no,cellular,9,jul,90,10,-1,0,unknown,0
139,43,admin.,married,secondary,no,0,no,no,unknown,20,jun,804,12,-1,0,unknown,0
140,52,self-employed,married,secondary,no,213,yes,no,cellular,14,may,164,2,-1,0,unknown,0
141,46,unknown,married,unknown,no,300,yes,no,unknown,16,may,323,3,-1,0,unknown,0
142,35,services,single,secondary,no,544,yes,no,cellular,7,may,91,1,345,2,failure,0
143,24,services,single,secondary,no,281,yes,no,cellular,8,may,211,2,337,3,other,0
144,59,retired,married,unknown,no,201,no,no,cellular,31,jul,69,7,-1,0,unknown,0
145,57,entrepreneur,married,unknown,no,618,yes,no,unknown,8,may,10,7,-1,0,unknown,0
146,26,blue-collar,single,secondary,no,2353,no,no,cellular,3,feb,498,2,-1,0,unknown,0
147,31,technician,single,secondary,no,691,yes,no,cellular,8,may,198,1,-1,0,unknown,0
148,53,management,married,tertiary,no,-1112,yes,no,cellular,13,may,53,3,308,1,failure,0
149,39,blue-collar,single,secondary,no,1170,no,no,unknown,6,jun,383,1,-1,0,unknown,0
150,52,management,married,secondary,no,0,no,no,cellular,30,jul,249,3,-1,0,unknown,0
151,40,technician,married,secondary,no,17,no,no,telephone,17,nov,192,1,-1,0,unknown,0
152,37,technician,married,secondary,no,1120,yes,no,unknown,30,may,103,5,-1,0,unknown,0
153,52,services,divorced,primary,no,111,yes,no,unknown,12,may,179,2,-1,0,unknown,0
154,39,blue-collar,married,secondary,no,3045,no,no,cellular,4,feb,260,2,-1,0,unknown,0
155,35,self-employed,single,tertiary,no,538,yes,yes,unknown,8,may,21,9,-1,0,unknown,0
156,40,admin.,single,secondary,no,664,no,no,cellular,19,nov,188,2,121,2,success,0
157,35,admin.,married,secondary,no,-257,no,no,cellular,28,jan,117,3,-1,0,unknown,0
158,31,blue-collar,married,primary,no,-199,yes,yes,telephone,12,may,149,5,299,10,failure,0
159,31,admin.,married,secondary,no,-241,yes,no,cellular,22,jul,1287,5,-1,0,unknown,0
160,34,management,single,tertiary,no,-64,yes,yes,cellular,28,aug,693,7,-1,0,unknown,0
161,57,technician,married,secondary,no,3240,yes,no,unknown,14,may,129,2,-1,0,unknown,0
162,30,blue-collar,single,secondary,no,16,yes,no,unknown,19,may,127,5,-1,0,unknown,0
163,31,blue-collar,single,secondary,no,4415,yes,no,unknown,2,jun,329,1,-1,0,unknown,0
164,22,services,single,secondary,no,652,no,no,telephone,31,aug,139,1,-1,0,unknown,0
165,47,management,married,tertiary,no,0,no,no,cellular,19,aug,213,2,-1,0,unknown,0
166,35,management,married,tertiary,no,4038,yes,yes,unknown,27,may,160,6,-1,0,unknown,0
